epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,12611.7,0.61344,0.30742,0.96026,0.83263,0.62306,0.76003,0.45904,1.62646,1.15431,1.97751,0.0003962,0.0003962,0.0003962
83,12778.7,0.60783,0.30099,0.9546,0.82832,0.64523,0.77078,0.46256,1.63366,1.11921,1.96943,0.0003764,0.0003764,0.0003764
84,12931.5,0.60116,0.29727,0.9573,0.78436,0.62906,0.73837,0.44721,1.6062,1.23952,1.97255,0.0003566,0.0003566,0.0003566
85,13084.3,0.59693,0.29667,0.95456,0.81955,0.61427,0.74689,0.4475,1.62285,1.24557,1.99013,0.0003368,0.0003368,0.0003368
86,13236.3,0.59548,0.29231,0.95365,0.76661,0.66741,0.75949,0.45923,1.61058,1.23699,1.96205,0.000317,0.000317,0.000317
87,13389.3,0.59011,0.29172,0.95512,0.8486,0.63381,0.77184,0.46162,1.62767,1.20495,1.98281,0.0002972,0.0002972,0.0002972
88,13542,0.57613,0.28407,0.94611,0.82339,0.65124,0.77744,0.47248,1.63688,1.21977,1.9993,0.0002774,0.0002774,0.0002774
89,13694.2,0.58146,0.28629,0.94101,0.80216,0.65632,0.76834,0.46767,1.62852,1.27287,1.98231,0.0002576,0.0002576,0.0002576
90,13847.1,0.57142,0.28252,0.94596,0.86318,0.59645,0.75642,0.46608,1.63476,1.28102,1.99323,0.0002378,0.0002378,0.0002378
91,14037.2,0.51589,0.22503,0.89261,0.81708,0.63636,0.76069,0.46448,1.63393,1.17524,1.99287,0.000218,0.000218,0.000218
92,14200.7,0.49421,0.21744,0.88605,0.78352,0.6541,0.76441,0.46531,1.63885,1.15883,2.01099,0.0001982,0.0001982,0.0001982
93,14367.9,0.4799,0.21273,0.87656,0.86055,0.62942,0.76923,0.46512,1.63343,1.13483,2.0176,0.0001784,0.0001784,0.0001784
94,14530.3,0.47239,0.20982,0.87601,0.86469,0.64302,0.7703,0.46615,1.61647,1.11994,2.00918,0.0001586,0.0001586,0.0001586
95,14692.5,0.47057,0.20765,0.87377,0.86878,0.62306,0.76195,0.4668,1.61794,1.17208,2.01405,0.0001388,0.0001388,0.0001388
96,14855.4,0.45989,0.20345,0.87192,0.85228,0.61863,0.75904,0.46509,1.62445,1.19981,2.02903,0.000119,0.000119,0.000119
97,15021.8,0.45887,0.20366,0.86979,0.82857,0.63228,0.75705,0.46786,1.6146,1.2205,2.0199,9.92e-05,9.92e-05,9.92e-05
98,15183.7,0.44747,0.19841,0.86373,0.80276,0.65188,0.76011,0.46977,1.61239,1.22402,2.02417,7.94e-05,7.94e-05,7.94e-05
99,15343.2,0.44702,0.1997,0.86449,0.83111,0.63415,0.75738,0.46784,1.62777,1.22716,2.05202,5.96e-05,5.96e-05,5.96e-05
100,15501.5,0.44063,0.19727,0.86453,0.81801,0.63858,0.75747,0.46454,1.62375,1.23303,2.0463,3.98e-05,3.98e-05,3.98e-05
