epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,7084.14,0.65652,0.32745,0.92122,0.75591,0.65234,0.72915,0.43743,1.60464,1.21552,1.76137,0.00274,0.00274,0.00274
90,7160.07,0.6474,0.3209,0.92304,0.77257,0.6553,0.73262,0.4274,1.61682,1.20122,1.79372,0.0026575,0.0026575,0.0026575
91,7235.69,0.63574,0.322,0.9129,0.72876,0.67319,0.71819,0.42274,1.61164,1.26343,1.81324,0.002575,0.002575,0.002575
92,7310.49,0.63386,0.31389,0.91608,0.74779,0.65188,0.72159,0.42615,1.60049,1.21931,1.80008,0.0024925,0.0024925,0.0024925
93,7385.4,0.63183,0.31097,0.91333,0.78271,0.64523,0.73713,0.43913,1.60478,1.19914,1.79632,0.00241,0.00241,0.00241
94,7459.75,0.63439,0.3146,0.91742,0.79725,0.62528,0.72854,0.43374,1.61803,1.18292,1.79488,0.0023275,0.0023275,0.0023275
95,7535.35,0.62361,0.31145,0.9108,0.78967,0.63269,0.73184,0.43107,1.62951,1.20753,1.81729,0.002245,0.002245,0.002245
96,7610.12,0.62006,0.30677,0.91102,0.73231,0.64902,0.71353,0.42349,1.65442,1.25179,1.84699,0.0021625,0.0021625,0.0021625
97,7686.22,0.60402,0.30653,0.9044,0.73436,0.67406,0.73701,0.43333,1.63167,1.21993,1.81506,0.00208,0.00208,0.00208
98,7762.21,0.60488,0.3026,0.90568,0.73197,0.68425,0.74392,0.44328,1.61383,1.21001,1.80865,0.0019975,0.0019975,0.0019975
99,7838.23,0.60123,0.2993,0.90121,0.76587,0.66075,0.74547,0.4407,1.61555,1.1846,1.81336,0.001915,0.001915,0.001915
100,7914.24,0.60031,0.30143,0.90262,0.76599,0.64596,0.72415,0.42956,1.63031,1.22225,1.84593,0.0018325,0.0018325,0.0018325
101,7990.31,0.59706,0.29854,0.90123,0.74272,0.68492,0.73174,0.43108,1.64308,1.2069,1.87757,0.00175,0.00175,0.00175
102,8066.2,0.59641,0.29851,0.90359,0.75375,0.66075,0.72847,0.43384,1.62568,1.23363,1.85664,0.0016675,0.0016675,0.0016675
103,8141.25,0.58725,0.29421,0.89847,0.77381,0.65854,0.72948,0.43534,1.63503,1.22014,1.85683,0.001585,0.001585,0.001585
104,8215.69,0.57852,0.29124,0.90075,0.81744,0.63193,0.73386,0.43438,1.6443,1.23556,1.852,0.0015025,0.0015025,0.0015025
105,8290.68,0.57849,0.29128,0.89754,0.80446,0.63415,0.72951,0.43183,1.6553,1.23206,1.87578,0.00142,0.00142,0.00142
106,8366.43,0.57643,0.28954,0.89971,0.78037,0.64603,0.73168,0.43526,1.6524,1.2351,1.85903,0.0013375,0.0013375,0.0013375
107,8442.31,0.55727,0.28478,0.88961,0.78017,0.64528,0.73586,0.44073,1.64049,1.25243,1.84527,0.001255,0.001255,0.001255
108,8518.07,0.55525,0.28294,0.89135,0.79591,0.63122,0.73056,0.43884,1.63466,1.24659,1.8417,0.0011725,0.0011725,0.0011725
109,8591.95,0.56305,0.28286,0.89544,0.80898,0.62914,0.73681,0.44415,1.64299,1.25333,1.86427,0.00109,0.00109,0.00109
110,8666.1,0.55299,0.28211,0.89207,0.7974,0.63415,0.73524,0.44186,1.64429,1.28571,1.86008,0.0010075,0.0010075,0.0010075
111,8862.21,0.47815,0.22015,0.83988,0.79518,0.63636,0.73777,0.44061,1.64742,1.28433,1.8709,0.000925,0.000925,0.000925
112,8983.32,0.45152,0.21119,0.8306,0.74929,0.64943,0.73184,0.4415,1.65467,1.30328,1.88281,0.0008425,0.0008425,0.0008425
113,9103.98,0.44081,0.20601,0.82514,0.69978,0.69401,0.73368,0.44254,1.65153,1.30688,1.88643,0.00076,0.00076,0.00076
114,9226.17,0.431,0.20384,0.82531,0.70935,0.67184,0.72365,0.43676,1.64964,1.32156,1.88126,0.0006775,0.0006775,0.0006775
115,9347.63,0.42625,0.20171,0.82302,0.72339,0.66685,0.72437,0.4365,1.65257,1.3354,1.88644,0.000595,0.000595,0.000595
116,9472.43,0.41887,0.19909,0.81959,0.72914,0.65854,0.72871,0.43749,1.65047,1.34227,1.89406,0.0005125,0.0005125,0.0005125
117,9596,0.41704,0.19835,0.81937,0.73253,0.66798,0.73069,0.43823,1.65382,1.34238,1.9067,0.00043,0.00043,0.00043
118,9692.9,0.41068,0.19599,0.82054,0.71742,0.66962,0.72563,0.43793,1.65762,1.34587,1.9131,0.0003475,0.0003475,0.0003475
119,9789.03,0.40581,0.1936,0.8181,0.73498,0.65854,0.73201,0.43994,1.66067,1.34143,1.91766,0.000265,0.000265,0.000265
120,9884.57,0.403,0.19268,0.81792,0.73696,0.65849,0.73059,0.4407,1.66433,1.35266,1.92362,0.0001825,0.0001825,0.0001825
